,Unnamed: 0,Innings,Player_name,Over_start_number,Runs_Scored,Balls_faced,Team1,Team2,Venue,Toss_winner,Toss_decision,Winner
38066,3713,1,I Sharma,-1.0,0,0,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders
38067,3714,2,SP Narine,0.1,37,18,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders
38068,3715,2,G Gambhir,0.1,72,48,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders
38069,3716,2,RV Uthappa,5.5,26,15,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders
38070,3717,2,MK Pandey,10.1,25,16,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders
38071,3718,2,TA Boult,-1.0,0,0,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders
38072,3719,2,UT Yadav,-1.0,0,0,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders
38073,3720,2,CR Woakes,-1.0,0,0,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders
38074,3721,2,PP Chawla,-1.0,0,0,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders
38075,3722,2,C de Grandhomme,-1.0,0,0,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders
38076,4174,1,PG Raut,0.1,47,72,India,Pakistan,County Ground,India,bat,India
38077,4175,1,S Mandhana,0.1,2,9,India,Pakistan,County Ground,India,bat,India
38078,4176,1,DB Sharma,3.4,28,62,India,Pakistan,County Ground,India,bat,India
38079,4177,1,M Raj,22.3,8,14,India,Pakistan,County Ground,India,bat,India
38080,4178,1,H Kaur,26.2,10,23,India,Pakistan,County Ground,India,bat,India
38081,4179,1,MR Meshram,26.4,6,35,India,Pakistan,County Ground,India,bat,India
38082,4180,1,S Verma,34.4,33,34,India,Pakistan,County Ground,India,bat,India
38083,4181,1,J Goswami,37.1,14,36,India,Pakistan,County Ground,India,bat,India
38084,4182,1,M Joshi,47.1,4,8,India,Pakistan,County Ground,India,bat,India
38085,4183,1,E Bisht,48.1,1,1,India,Pakistan,County Ground,India,bat,India
38086,4184,1,Poonam Yadav,48.3,6,4,India,Pakistan,County Ground,India,bat,India
38087,4185,2,Ayesha Zafar,0.1,1,7,India,Pakistan,County Ground,India,bat,India
38088,4186,2,Nahida Khan,0.1,23,62,India,Pakistan,County Ground,India,bat,India
38089,4187,2,Javeria Khan,1.5,6,13,India,Pakistan,County Ground,India,bat,India
38090,4188,2,Sidra Nawaz,4.4,0,4,India,Pakistan,County Ground,India,bat,India
38091,4189,2,Iram Javed,5.5,0,3,India,Pakistan,County Ground,India,bat,India
38092,4190,2,Nain Abidi,7.3,5,19,India,Pakistan,County Ground,India,bat,India
38093,4191,2,Asmavia Iqbal,13.2,0,9,India,Pakistan,County Ground,India,bat,India
38094,4192,2,Sana Mir,15.1,29,73,India,Pakistan,County Ground,India,bat,India
38095,4193,2,Nashra Sandhu,23.4,1,12,India,Pakistan,County Ground,India,bat,India
38096,4194,2,Diana Baig,28.4,0,1,India,Pakistan,County Ground,India,bat,India
38097,4195,2,Sadia Yousuf,28.5,3,26,India,Pakistan,County Ground,India,bat,India
38098,4749,1,J Bangura,0.1,0,6,Botswana,Sierra Leone,Willowmoore Park B Field,Sierra Leone,bat,Botswana
38099,4750,1,G Ngegba,0.1,42,86,Botswana,Sierra Leone,Willowmoore Park B Field,Sierra Leone,bat,Botswana
38100,4751,1,Y Jalloh,1.1,0,2,Botswana,Sierra Leone,Willowmoore Park B Field,Sierra Leone,bat,Botswana
38101,4752,1,E Kamara,2.3,13,30,Botswana,Sierra Leone,Willowmoore Park B Field,Sierra Leone,bat,Botswana
38102,4753,1,I Kamara,11.1,17,48,Botswana,Sierra Leone,Willowmoore Park B Field,Sierra Leone,bat,Botswana
38103,4754,1,L Lamin,27.4,1,6,Botswana,Sierra Leone,Willowmoore Park B Field,Sierra Leone,bat,Botswana
38104,4755,1,Mohamed Khan,28.6,13,9,Botswana,Sierra Leone,Willowmoore Park B Field,Sierra Leone,bat,Botswana
38105,4756,1,M Mansaray,30.4,22,56,Botswana,Sierra Leone,Willowmoore Park B Field,Sierra Leone,bat,Botswana
38106,4757,1,B Williams,33.2,3,8,Botswana,Sierra Leone,Willowmoore Park B Field,Sierra Leone,bat,Botswana
